operator|version|certified|created|company|repos|ocpversion|sdkversion|operatortype|source-redhat|source-community|source-marketplace|source-certified|source-operatorhub|channel|default-channel
clusterresourceoverride-operator.4.6.0-202010201329.p0.3|4.6.0-202010200139.p0|false|2019/11/15|Red Hat|https://github.com/openshift/cluster-resource-override-operator|4.6|||yes|||||unknown|unknown
cnvrg-operator.v0.352.0|0.352.0|true|2020-06-11T12:59:59.000Z|cnvrg.io/new|https://github.com/accessibleAI/cnvrg-operator|4.6|||||yes|yes||unknown|unknown
cockroach-operator.v1.0.1|1.0.1|true|2020-09-03T19:29:26Z|Cockroach Labs|https://github.com/cockroachdb/cockroach-operator|4.6|||||yes|yes|||
cockroachdb.v2.1.11|2.1.11|false|2019-01-24T15-33-43Z|Helm Community|https://github.com/dmesser/cockroachdb-operator|4.6|v0.18.1|helm|||||yes|,stable-3.x,stable-2.x,stable|stable-3.x
cockroachdb.v3.0.7|3.0.7|false|2020-06-22T15-00-00Z|Helm Community|https://github.com/dmesser/cockroachdb-operator|4.6|v0.18.1|helm|||||yes|,stable-3.x,stable-2.x,stable|stable-3.x
compliance-operator.v0.1.17|0.1.17|false|2019/11/15|Red Hat Inc.|https://github.com/openshift/cluster-resource-override-operator|4.6|||yes|||||unknown|unknown
composable-operator.v0.1.3|0.1.3|false|2019-11-16T20:39:31Z|IBM|https://github.com/IBM/composable|4.6|||||||yes|alpha|
container-security-operator.v3.3.1|3.3.1|false|2020-05-20 17:15:55|Red Hat|https://github.com/quay/container-security-operator|4.6|||yes|||||alpha|alpha
conversational-hub-operator.v2.1.0|2.1.0|true|2020-04-20 12:59:59|EscalateAI Conversation Hub Team|https://github.com/cockroachdb/cockroach-operator|4.6||||||yes|||
coralogix-operator.v1.0.0|1.0.0|false|2020-09-08T07:15:53Z|Coralogix Ltd.|https://github.com/coralogix/coralogix-operator|4.6||||||yes|| stable| stable
cortex-certifai-operator.v1.3.4|1.3.4|true|2020-1-23T12:03:45Z|CognitiveScale|https://github.com/cockroachdb/cockroach-operator|4.6|||||yes|yes|||
cortex-certifai-operator.v1.3.5-rc.2|1.3.5-rc.2|false|2020-1-23T12:03:45Z|CognitiveScale|https://github.com/coralogix/coralogix-operator|4.6||||||yes|| stable| stable
cortex-fabric-operator.v1.0.0|1.0.0|false|2020-5-01T12:03:45Z|CognitiveScale|https://github.com/cognitivescale/cortex-fabric|4.6|||||yes|yes||unknown|unknown
cortex-healthcare-hub-operator.v0.0.25|0.0.25|false|2020-5-01T12:03:45Z|CognitiveScale|https://github.com/CognitiveScale/cortex-healthcare-hub-operator|4.6|||||yes|yes||unknown|unknown
cortex-hub-operator.v0.0.25|0.0.25|false|2020-5-01T12:03:45Z|CognitiveScale|https://github.com/CognitiveScale/cortex-hub-operator|4.6|||||yes|yes||unknown|unknown
cos-bucket-operator.v0.1.0|0.1.0|false|2019-08-23T12:38:36Z|IBM|https://github.com/IBM/cos-bucket-operator|4.6|||||||yes|alpha|
